Tipo,Denominação,"Código Postal",Descritivo
PC,ERMIDAS-SADO,7566-909,ERMIDAS-SADO
LOJA,"CTT GRÂNDOLA",7571-909,GRÂNDOLA
LOJA,"CTT ALCÁCER DO SAL",7581-909,"ALCÁCER DO SAL"
PC,TORRÃO,7596-909,TORRÃO
LOJA,"CTT ALJUSTREL",7601-909,ALJUSTREL
PC,"S LUÍS",7631-907,"SÃO LUÍS"
PC,"S TEOTÓNIO",7631-908,"SÃO TEOTÓNIO"
LOJA,"CTT ODEMIRA",7631-909,ODEMIRA
LOJA,"CTT VILA NOVA DE MILFONTES",7646-909,"VILA NOVA DE MILFONTES"
LOJA,"CTT OURIQUE",7671-909,OURIQUE
LOJA,"CTT ALMODÔVAR",7701-909,ALMODÔVAR
LOJA,"CTT MÉRTOLA",7751-909,MÉRTOLA
LOJA,"CTT CASTRO VERDE",7781-909,"CASTRO VERDE"
LOJA,"CTT BEJA",7801-901,BEJA
LOJA,"CTT BEJA",7801-902,BEJA
LOJA,"CTT BEJA",7801-903,BEJA
LOJA,"CTT BEJA",7801-904,BEJA
LOJA,"CTT BEJA",7801-905,BEJA
LOJA,"CTT BEJA",7801-906,BEJA
LOJA,"CTT PAX JULIA",7801-908,BEJA
LOJA,"CTT BEJA",7801-951,BEJA
LOJA,"CTT BEJA",7801-952,BEJA
PC,PIAS,7831-907,"PIAS SRP"
LOJA,"CTT SERPA",7831-909,SERPA
LOJA,"CTT MOURA",7861-909,MOURA
PC,SAFARA,7876-909,SAFARA
PC,AMARELEJA,7886-909,AMARELEJA
LOJA,"CTT FERREIRA DO ALENTEJO",7901-909,"FERREIRA DO ALENTEJO"
PC,ALVITO,7921-909,ALVITO
LOJA,"CTT CUBA",7941-909,CUBA
LOJA,"CTT VIDIGUEIRA",7961-909,VIDIGUEIRA
LOJA,"CTT FARO",8001-901,FARO
LOJA,"CTT FARO",8001-902,FARO
LOJA,"CTT FARO",8001-903,FARO
LOJA,"CTT FARO",8001-904,FARO
LOJA,"CTT FARO",8001-905,FARO
LOJA,"CTT FARO",8001-906,FARO
LOJA,"CTT FARO",8001-907,FARO
LOJA,"CTT FARO",8001-908,FARO
LOJA,"CTT FARO",8001-909,FARO
LOJA,"CTT FARO",8001-910,FARO
LOJA,"CTT FARO",8001-911,FARO
PC,"MONTENEGRO (FARO)",8006-401,FARO
LOJA,"CTT MAR E GUERRA (FARO)",8006-501,FARO
LOJA,"CTT PENHA (FARO)",8006-601,FARO
PC,"SANTA BÁRBARA DE NEXE",8006-701,FARO
PC,ESTOI,8006-801,FARO
LOJA,"CTT OLIVAIS DE SANTO ANTÓNIO (LOULÉ)",8101-904,LOULÉ
PC,ALTE,8101-906,ALTE
PC,BOLIQUEIME,8101-908,BOLIQUEIME
LOJA,"CTT LOULÉ",8101-909,LOULÉ
LOJA,"CTT LOULÉ",8101-951,LOULÉ
LOJA,"CTT LOULÉ",8101-952,LOULÉ
LOJA,"CTT LOULÉ",8101-953,LOULÉ
LOJA,"CTT LOULÉ",8101-954,LOULÉ
LOJA,"CTT VILAMOURA",8126-851,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-901,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-902,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-903,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-904,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-905,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-906,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-907,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-908,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-909,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-910,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-911,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-912,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-913,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-914,QUARTEIRA
LOJA,"CTT VILAMOURA",8126-915,QUARTEIRA
LOJA,"CTT QUARTEIRA",8126-916,QUARTEIRA
LOJA,"CTT ALMANCIL",8136-901,ALMANCIL
LOJA,"CTT ALMANCIL",8136-902,ALMANCIL
LOJA,"CTT ALMANCIL",8136-903,ALMANCIL
LOJA,"CTT ALMANCIL",8136-904,ALMANCIL
LOJA,"CTT ALMANCIL",8136-905,ALMANCIL
LOJA,"CTT ALMANCIL",8136-906,ALMANCIL
LOJA,"CTT ALMANCIL",8136-907,ALMANCIL
LOJA,"CTT ALMANCIL",8136-908,ALMANCIL
LOJA,"CTT ALMANCIL",8136-909,ALMANCIL
LOJA,"CTT ALMANCIL",8136-912,ALMANCIL
LOJA,"CTT S BRÁS DE ALPORTEL",8151-909,"SÃO BRÁS DE ALPORTEL"
PC,"GUIA (ALBUFEIRA)",8201-401,"GUIA ABF"
PC,ALBUFEIRA,8201-901,ALBUFEIRA
PC,ALBUFEIRA,8201-902,ALBUFEIRA
PC,ALBUFEIRA,8201-903,ALBUFEIRA
PC,ALBUFEIRA,8201-904,ALBUFEIRA
PC,ALBUFEIRA,8201-905,ALBUFEIRA
LOJA,"CTT AREIAS DE SÃO JOÃO",8201-908,ALBUFEIRA
LOJA,"CTT AREIAS DE SÃO JOÃO",8201-909,ALBUFEIRA
LOJA,"CTT AREIAS DE SÃO JOÃO",8201-910,ALBUFEIRA
